id,onset,start,end,comment
JN12NE,2,9/19/23,10/2/23,
JN52CS,2,,,
JS03ML,1,,,
JS05KR,1,10/18/23,11/1/23,
JS08VC,2,8/23/23,9/5/23,
JT04HN,2,,,
KR01DS,2,7/18/23,8/1/23,
KR01KA,2,,,
KR01WR,1,10/21/23,11/5/23,
KR03HN,2,7/22/23,8/16/23,
Kr04Sb,2,10/26/23,12/7/23,
KR08EI,2,11/17/23,11/30/23,
KR09AE,2,7/22/23,8/4/23,
KR09AF,2,10/24/23,11/11/23,
KR09SE,2,7/31/23,8/14/23,
KR12RL,2,10/18/23,10/31/23,
kt04mt,1,7/15/23,7/29/23,
KT07HN,2,10/20/23,11/2/23,
KT07JR,2,,,
KT12EI,2,10/20/23,11/2/23,
KT12NR,1,10/10/23,10/23/23,
KT12SE,1,8/11/23,8/24/23,
LC09FN,2,8/18/23,9/5/23,
LD01AD,2,7/18/23,8/8/23,zusätzliche am Ende
LD11VK (LD19VK),1,7/22/23,8/4/23,
LL08PT,2,10/24/23,11/6/23,
LN07AD,1,8/11/23,8/24/23,
LN07AE,2,,,
MC08KA,2,,,
MC10TO,2,10/20/23,11/2/23,
MC11DT,1,7/25/23,8/10/23,
MG11DR,2,,,
MH03GZ,2,10/17/23,10/30/23,
ML07SE,2,8/14/23,8/27/23,
ML08LR,1,10/19/23,11/15/23,
Mn04dr,2,10/20/23,11/11/23,
MN06CA,2,10/22/23,11/4/23,
MN09JA,2,10/28/23,11/12/23,
MN11TR,1,8/9/23,8/22/23,
MN26RL,2,,,
MOZ08SAE,2,10/21/23,11/3/23,
MR01DM,2,7/15/23,7/28/23,
MR01SE,2,10/21/23,11/4/23,
MR02OI,2,10/20/23,11/2/23,
MR03TO,2,7/19/23,8/3/23,
MR06WL,2,7/16/23,7/29/23,
MR07PU,2,,,
MR07RI,1,,,
MR07TO,1,10/19/23,11/3/23,
MR09RB,2,10/20/23,11/4/23,
MR10JR,2,10/21/23,11/3/23,
MR11HI,1,8/3/23,8/19/23,
MR11UF,2,,,
MR12SE,2,,,
NA02ED,2,,,
ND04AD,2,10/20/23,11/20/23,
NE01TH,1,9/1/23,9/14/23,
NI05FR,2,,,
NI05JU,2,,,
NN01SS,1,7/21/23,8/4/23,
NN08SE,2,10/20/23,11/4/23,
NR06SE,2,,,
NT02CR,1,10/20/23,11/2/23,
NT06RM,1,8/17/23,9/13/23,
NT09TO,1,7/19/23,8/1/23,
OA03VL,1,8/24/23,9/6/23,
OG01SR,2,7/19/23,8/1/23,
OG10FA,2,,,
PG11WL,1,10/18/23,10/31/23,
PT01KU,2,8/15/23,8/31/23,
Pt02rc,1,11/9/23,11/22/23,
PT08GE,1,,,
PT09MS,2,7/16/23,8/1/23,
RD02IO,2,,,
RF04PT,2,8/15/23,8/31/23,
Rg05BC,2,10/26/23,11/8/23,
RG08MR,2,8/30/23,9/12/23,
RG12CR,1,9/16/23,9/29/23,
RO12MA,1,10/17/23,10/30/23,
RT02PR,2,,,
RT05PT,2,,,
RT11AM,2,7/15/23,7/30/23,
RT12RL,1,8/14/23,8/28/23,
RU04PT,2,7/21/23,8/4/23,
RY07PR,2,,,
RZ12JN,1,7/15/23,7/28/23,
SA11SE,2,,,
SB01MC,2,,,
SB01MC2,1,10/21/23,11/6/23,
SB02CR,1,7/15/23,7/29/23,
SB08DM,1,10/18/23,10/31/23,
SB08GO,2,10/21/23,11/3/23,
Sb12Hl,2,11/2/23,11/15/23,
SB12KR,1,10/31/23,11/13/23,
SE01DE,2,10/21/23,11/5/23,
SE01EI,1,7/20/23,8/2/23,
SE04TO,2,8/14/23,8/27/23,
SE06HL,2,7/19/23,8/1/23,zusätzliche am Ende
SE07UF,2,10/31/23,11/13/23,
SE09SE,1,,,
SE12EI,1,7/22/23,8/21/23,
SF06IM,2,7/26/23,8/19/23,
SL03DR,2,7/24/23,8/20/23,
SL03HL,1,11/11/23,11/24/23,
Sl03TO,2,7/16/23,8/4/23,
SL04DE,1,,,
SL06CR,2,7/22/23,8/5/23,
SL06GR,2,7/19/23,8/1/23,
SL07PT,2,10/18/23,11/1/23,
SL09MC,1,7/22/23,8/4/23,
SM01MR (SM15MR),2,7/27/23,8/9/23,
SM02RU,2,7/15/23,7/28/23,
SM03SM,1,10/26/23,11/8/23,
SM06AD,1,11/16/23,11/29/23,
SM06HN,2,7/22/23,8/7/23,
SM10JA,1,,,
SM11HN,2,10/20/23,11/2/23,
Sm11rc,2,10/18/23,10/31/23,
SN01BR,,,,
SN01WL,2,8/17/23,8/31/23,
SN02VL,1,8/6/23,8/24/23,
SN07SL,2,,,
SN07SR,1,7/19/23,8/1/23,
SN07WL,1,10/20/23,11/13/23,
SN08MR,2,10/26/23,11/8/23,
SN11GO,2,,,
SR10DA,2,10/26/23,11/8/23,
SS01OI,2,8/3/23,8/17/23,
SS03FA,2,10/30/23,11/13/23,
SS05HR,1,9/1/23,9/14/23,
SS08CR,2,10/28/23,11/15/23,
SS09AD,1,8/4/23,8/17/23,
SS09JH,1,8/18/23,9/2/23,
SS09MR,2,10/19/23,11/2/23,
SS12DR,2,7/16/23,7/30/23,
SS12GA,1,7/16/23,7/29/23,
Tan04pat,2,,,
TL09IF,2,,,
TN05FA,2,10/21/23,11/14/23,
TN10HL,1,7/19/23,8/14/23,
TN10PS,2,7/16/23,7/29/23,
TN11HL,2,10/26/23,11/10/23,
TR01TR,2,7/20/23,8/14/23,
TR27LS,2,7/19/23,8/1/23,
UA12TO (UA14TO),2,7/17/23,8/9/23,
UE01UE,1,,,
UE03HN,1,11/18/23,12/1/23,
UE05TO,2,8/5/23,8/18/23,
UE06UR,2,7/27/23,8/9/23,
UE09AE,2,,,
UR03BR,1,8/7/23,8/20/23,
UR05RL,2,8/19/23,9/1/23,
UR07RL,2,8/19/23,9/1/23,
UR10HN,1,,,
UR11KA,1,8/14/23,8/27/23,
UR12TR,1,9/7/23,9/20/23,
US01MR,3,7/24/23,8/7/23,"3 = 20:30, es gibt zusätzliche am Anfang"
US02KA,1,,,
VL08ZK,2,10/28/23,11/10/23,
VO11GO,1,,,
VR09AD,2,,,
WB02MC,1,10/17/23,10/30/23,
WL03LD,2,8/3/23,8/18/23,
WL09EK,1,10/17/23,10/30/23,
XI01JS,1,,,
XX02XX,1,,,
XX09GB,1,,,
YO06RL,1,7/17/23,7/31/23,
