"","x"
"1","DN12TO"
"2","SB02CR"
"3","YO06RL"
"4","AN09RO"
"5","CR08LR"
"6","AN02XX"
"7","BA03RG"
"8","EK01GO"
"9","MR03TO"
"10","PT09MS"
"11","AG06DE"
"12","EI11CR"
"13","KT04MT"
"14","SL06GR"
"15","SN07SR"
"16","SS12GA"
"17","OG01SR"
"18","MR01DM"
"19","AJ11OA"
"20","MR06WL"
"21","TN10PS"
"22","SM02RU"
"23","FA07OA"
"24","NN01SS"
"25","GB10TO"
"26","NT09TO"
"27","HI09HR"
"28","FA12CR"
"29","SS12DR"
"30","LD11VK"
"31","KR09AE"
"32","SL09MC"
"33","BT09VL"
"34","SM01MR"
"35","DR07EA"
"36","BT02IG"
"37","GB06JH"
"38","AN01TO"
"39","AE08TO"
"40","SE06HL"
"41","UE06UR"
"42","CA06FI"
"43","AN10JR"
"44","MC11DT"
"45","UA12TO"
"46","II08ER"
"47","DR10AD"
"48","SN02VL"
"49","LN07AD"
"50","FH01FO"
"51","AD09JN"
"52","KT12SE"
"53","ML07SE"
"54","AG12SE"
"55","SE04TO"
"56","RF04PT"
"57","RT12RL"
"58","UR07RL"
"59","UR05RL"
"60","HL03PT"
"61","AE03TO"
"62","SS09JH"
"63","JN06AM"
"64","HI05MR"
"65","OA03VL"
"66","JS08VC"
"67","JD01HR"
"68","IS02AE"
"69","RG08MR"
"70","AD09DR"
"71","JH12MR"
"72","IG03RM"
"73","UR12TR"
"74","BR12TO"
"75","LC09FN"
"76","RO12MA"
"77","GL07NB"
"78","DN12MS"
"79","KR12RL"
"80","SM11RC"
"81","GL09IM"
"82","BI11WL"
"83","SB08DM"
"84","HL04MR"
"85","HI06CR"
"86","SL07PT"
"87","MH03GZ"
"88","BR02HR"
"89","AJ04SE"
"90","HI01IG"
"91","KT12EI"
"92","KT07HN"
"93","MR02OI"
"94","AI02RB"
"95","DR09FA"
"96","SS09MR"
"97","AJ10AK"
"98","BI10DE"
"99","NT02CR"
"100","AE05TB"
"101","AD06VL"
"102","MC10TO"
"103","MR10JR"
"104","MR07TO"
"105","FT05SY"
"106","MOZ08S"
"107","SE01DT"
"108","CR07HL"
"109","MN06CA"
"110","SM03SM"
"111","SR10DA"
"112","AS05MH"
"113","TN11HL"
"114","VL08ZK"
"115","CA02MR"
"116","SE07UF"
"117","SB12KR"
"118","SB01MC"
"119","PT02RC"
"120","SL03HL"
"121","AD12HU"
"122","HL08RL"
"123","SM06AD"
"124","CN10MC"
"125","CR09SE"
"126","KR08EI"
"127","BA08AD"
"128","RG12CR"
