instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
-0.086049194,-0.393474867,0,0,0,l,1,0.607,,,,,,,,,0.607,1,0,0,0,13,1,stimuli/blank.png,verlogen,l,AN01TO,2023-08-13_13h14.01.104,openIAT,2023.1.3,MacIntel,60.0024001,
,,,,,a,1,0.5504,,,,,,,,,0.5504,1,0,1,1,4,1,stimuli/blank.png,gerecht,a,AN01TO,2023-08-13_13h14.01.104,openIAT,2023.1.3,MacIntel,60.0024001,
,,,,,l,1,0.5102,,,,,,,,,0.5102,1,0,2,2,5,1,stimuli/blank.png,träge,l,AN01TO,2023-08-13_13h14.01.104,openIAT,2023.1.3,MacIntel,60.0024001,
,,,,,a,1,0.5493,,,,,,,,,0.5493,1,0,3,3,0,1,stimuli/blank.png,aktiv,a,AN01TO,2023-08-13_13h14.01.104,openIAT,2023.1.3,MacIntel,60.0024001,
,,,,,l,1,0.5688,,,,,,,,,0.5688,1,0,4,4,1,1,stimuli/blank.png,brutal,l,AN01TO,2023-08-13_13h14.01.104,openIAT,2023.1.3,MacIntel,60.0024001,
,,,,,l,1,0.5677,,,,,,,,,0.5677,1,0,5,5,9,1,stimuli/blank.png,lustlos,l,AN01TO,2023-08-13_13h14.01.104,openIAT,2023.1.3,MacIntel,60.0024001,
,,,,,a,1,0.4803,,,,,,,,,0.4803,1,0,6,6,10,1,stimuli/blank.png,aktiv,a,AN01TO,2023-08-13_13h14.01.104,openIAT,2023.1.3,MacIntel,60.0024001,
,,,,,a,1,0.6167,,,,,,,,,0.6167,1,0,7,7,2,1,stimuli/blank.png,fröhlich,a,AN01TO,2023-08-13_13h14.01.104,openIAT,2023.1.3,MacIntel,60.0024001,
,,,,,l,1,0.4764,,,,,,,,,0.4764,1,0,8,8,19,1,stimuli/blank.png,lustlos,l,AN01TO,2023-08-13_13h14.01.104,openIAT,2023.1.3,MacIntel,60.0024001,
,,,,,a,1,0.5663,,,,,,,,,0.5663,1,0,9,9,18,1,stimuli/blank.png,human,a,AN01TO,2023-08-13_13h14.01.104,openIAT,2023.1.3,MacIntel,60.0024001,
,,,,,l,1,0.515,,,,,,,,,0.515,1,0,10,10,3,1,stimuli/blank.png,verlogen,l,AN01TO,2023-08-13_13h14.01.104,openIAT,2023.1.3,MacIntel,60.0024001,
,,,,,a,1,0.5175,,,,,,,,,0.5175,1,0,11,11,12,1,stimuli/blank.png,fröhlich,a,AN01TO,2023-08-13_13h14.01.104,openIAT,2023.1.3,MacIntel,60.0024001,
,,,,,l,1,0.5491,,,,,,,,,0.5491,1,0,12,12,15,1,stimuli/blank.png,träge,l,AN01TO,2023-08-13_13h14.01.104,openIAT,2023.1.3,MacIntel,60.0024001,
,,,,,l,1,0.7349,,,,,,,,,0.7349,1,0,13,13,17,1,stimuli/blank.png,eitel,l,AN01TO,2023-08-13_13h14.01.104,openIAT,2023.1.3,MacIntel,60.0024001,
,,,,,a,1,0.6674,,,,,,,,,0.6674,1,0,14,14,6,1,stimuli/blank.png,begabt,a,AN01TO,2023-08-13_13h14.01.104,openIAT,2023.1.3,MacIntel,60.0024001,
,,,,,a,1,0.5986,,,,,,,,,0.5986,1,0,15,15,8,1,stimuli/blank.png,human,a,AN01TO,2023-08-13_13h14.01.104,openIAT,2023.1.3,MacIntel,60.0024001,
,,,,,a,1,0.6187,,,,,,,,,0.6187,1,0,16,16,14,1,stimuli/blank.png,gerecht,a,AN01TO,2023-08-13_13h14.01.104,openIAT,2023.1.3,MacIntel,60.0024001,
,,,,,l,1,0.6335,,,,,,,,,0.6335,1,0,17,17,7,1,stimuli/blank.png,eitel,l,AN01TO,2023-08-13_13h14.01.104,openIAT,2023.1.3,MacIntel,60.0024001,
,,,,,l,1,0.5347,,,,,,,,,0.5347,1,0,18,18,11,1,stimuli/blank.png,brutal,l,AN01TO,2023-08-13_13h14.01.104,openIAT,2023.1.3,MacIntel,60.0024001,
