instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
,,,,,l,1,0.6853,,,,,,,,,0.6853,1,0,9,9,4,1,stimuli/blank.png,jene,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.4515,,,,,,,,,0.4515,1,0,10,10,14,1,stimuli/blank.png,jene,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,0,0.5098,,,,,,,,,0.5098,0,0,11,11,17,1,stimuli/blank.png,eigene,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.7384,,,,,,,,,0.7384,1,0,12,12,10,1,stimuli/blank.png,andere,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.551,,,,,,,,,0.551,1,0,13,13,11,1,stimuli/blank.png,ich,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.4862,,,,,,,,,0.4862,1,0,14,14,1,1,stimuli/blank.png,ich,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.5043,,,,,,,,,0.5043,1,0,15,15,15,1,stimuli/blank.png,meine,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.8196,,,,,,,,,0.8196,1,0,16,16,7,1,stimuli/blank.png,eigene,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.6185,,,,,,,,,0.6185,1,0,17,17,13,1,stimuli/blank.png,mir,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.6904,,,,,,,,,0.6904,1,0,18,18,0,1,stimuli/blank.png,andere,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.4673,,,,,,,,,0.4673,1,0,19,19,16,1,stimuli/blank.png,euch,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.576,,,,,,,,,0.576,1,0,0,0,8,1,stimuli/blank.png,eure,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,2.0535,,,,,,,,,2.0535,1,0,1,1,17,1,stimuli/blank.png,eitel,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.6608,,,,,,,,,0.6608,1,0,2,2,4,1,stimuli/blank.png,jene,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.6292,,,,,,,,,0.6292,1,0,3,3,16,1,stimuli/blank.png,begabt,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.7375,,,,,,,,,0.7375,1,0,4,4,0,1,stimuli/blank.png,andere,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.7541,,,,,,,,,0.7541,1,0,5,5,7,1,stimuli/blank.png,eigene,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.6983,,,,,,,,,0.6983,1,0,6,6,1,1,stimuli/blank.png,ich,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.7942,,,,,,,,,0.7942,1,0,7,7,15,1,stimuli/blank.png,träge,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.5198,,,,,,,,,0.5198,1,0,8,8,3,1,stimuli/blank.png,mir,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
