instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
0.089156627,-0.422891566,1,0,0,instr_done_button,,0,0.390361446,-0.262650602,1,0,0,1.206,button_right,1.206,1,0,0,0,19,1,stimuli/blank.png,lustlos,l,SN02VL,2023-08-24_23h21.40.280,openIAT,2023.1.3,iPhone,30.3030303,
,,,,,,,0,-0.314457831,-0.342168675,1,0,0,1.153,button_left,1.153,1,0,1,1,4,1,stimuli/blank.png,gerecht,a,SN02VL,2023-08-24_23h21.40.280,openIAT,2023.1.3,iPhone,30.3030303,
,,,,,,,0,-0.339759036,-0.343373494,1,0,0,0.919,button_left,0.919,1,0,2,2,6,1,stimuli/blank.png,begabt,a,SN02VL,2023-08-24_23h21.40.280,openIAT,2023.1.3,iPhone,30.3030303,
,,,,,,,0,-0.28313253,-0.3,1,0,0,0.745,button_left,0.745,1,0,3,3,0,1,stimuli/blank.png,aktiv,a,SN02VL,2023-08-24_23h21.40.280,openIAT,2023.1.3,iPhone,30.3030303,
,,,,,,,0,-0.269879518,-0.337349398,1,0,0,0.812,button_left,0.812,1,0,4,4,10,1,stimuli/blank.png,aktiv,a,SN02VL,2023-08-24_23h21.40.280,openIAT,2023.1.3,iPhone,30.3030303,
,,,,,,,0,-0.301204819,-0.331325301,1,0,0,0.947,button_left,0.947,1,0,5,5,8,1,stimuli/blank.png,human,a,SN02VL,2023-08-24_23h21.40.280,openIAT,2023.1.3,iPhone,30.3030303,
,,,,,,,0,0.33253012,-0.273493976,1,0,0,0.904,button_right,0.904,1,0,6,6,9,1,stimuli/blank.png,lustlos,l,SN02VL,2023-08-24_23h21.40.280,openIAT,2023.1.3,iPhone,30.3030303,
,,,,,,,0,-0.424096386,-0.359036145,1,0,0,0.71,button_left,0.71,1,0,7,7,12,1,stimuli/blank.png,fröhlich,a,SN02VL,2023-08-24_23h21.40.280,openIAT,2023.1.3,iPhone,30.3030303,
,,,,,,,0,0.295180723,-0.355421687,1,0,0,0.753,button_right,0.753,1,0,8,8,11,1,stimuli/blank.png,brutal,l,SN02VL,2023-08-24_23h21.40.280,openIAT,2023.1.3,iPhone,30.3030303,
,,,,,,,0,-0.408433735,-0.379518072,1,0,0,0.752,button_left,0.752,1,0,9,9,18,1,stimuli/blank.png,human,a,SN02VL,2023-08-24_23h21.40.280,openIAT,2023.1.3,iPhone,30.3030303,
