instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
-0.5,-0.115885417,0,0,0,a,1,0.5198,,,,,,,,,0.5198,1,0,0,0,12,1,stimuli/blank.png,fröhlich,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.5709,,,,,,,,,0.5709,1,0,1,1,6,1,stimuli/blank.png,begabt,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.7751,,,,,,,,,0.7751,1,0,2,2,17,1,stimuli/blank.png,eitel,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.5294,,,,,,,,,0.5294,1,0,3,3,3,1,stimuli/blank.png,verlogen,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.5172,,,,,,,,,0.5172,1,0,4,4,5,1,stimuli/blank.png,träge,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.5931,,,,,,,,,0.5931,1,0,5,5,16,1,stimuli/blank.png,begabt,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.5755,,,,,,,,,0.5755,1,0,6,6,7,1,stimuli/blank.png,eitel,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.6142,,,,,,,,,0.6142,1,0,7,7,19,1,stimuli/blank.png,lustlos,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.5065,,,,,,,,,0.5065,1,0,8,8,0,1,stimuli/blank.png,aktiv,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.5621,,,,,,,,,0.5621,1,0,9,9,11,1,stimuli/blank.png,brutal,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.4349,,,,,,,,,0.4349,1,0,10,10,1,1,stimuli/blank.png,brutal,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.5654,,,,,,,,,0.5654,1,0,11,11,9,1,stimuli/blank.png,lustlos,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.4964,,,,,,,,,0.4964,1,0,12,12,10,1,stimuli/blank.png,aktiv,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.6846,,,,,,,,,0.6846,1,0,13,13,4,1,stimuli/blank.png,gerecht,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.5944,,,,,,,,,0.5944,1,0,14,14,8,1,stimuli/blank.png,human,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.4688,,,,,,,,,0.4688,1,0,15,15,2,1,stimuli/blank.png,fröhlich,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.5065,,,,,,,,,0.5065,1,0,16,16,15,1,stimuli/blank.png,träge,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.6228,,,,,,,,,0.6228,1,0,17,17,18,1,stimuli/blank.png,human,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.5534,,,,,,,,,0.5534,1,0,18,18,13,1,stimuli/blank.png,verlogen,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.6051,,,,,,,,,0.6051,1,0,19,19,14,1,stimuli/blank.png,gerecht,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.5252,,,,,,,,,0.5252,1,0,0,0,15,1,stimuli/blank.png,meine,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.5373,,,,,,,,,0.5373,1,0,1,1,16,1,stimuli/blank.png,euch,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.4545,,,,,,,,,0.4545,1,0,2,2,18,1,stimuli/blank.png,eure,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.5267,,,,,,,,,0.5267,1,0,3,3,19,1,stimuli/blank.png,selbst,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.4289,,,,,,,,,0.4289,1,0,4,4,7,1,stimuli/blank.png,eigene,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.5431,,,,,,,,,0.5431,1,0,5,5,2,1,stimuli/blank.png,ihr,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.4792,,,,,,,,,0.4792,1,0,6,6,1,1,stimuli/blank.png,ich,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.5126,,,,,,,,,0.5126,1,0,7,7,3,1,stimuli/blank.png,mir,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.4921,,,,,,,,,0.4921,1,0,8,8,14,1,stimuli/blank.png,jene,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.5777,,,,,,,,,0.5777,1,0,9,9,6,1,stimuli/blank.png,euch,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.6807,,,,,,,,,0.6807,1,0,10,10,12,1,stimuli/blank.png,ihr,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.4986,,,,,,,,,0.4986,1,0,11,11,4,1,stimuli/blank.png,jene,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.6615,,,,,,,,,0.6615,1,0,12,12,13,1,stimuli/blank.png,mir,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.6541,,,,,,,,,0.6541,1,0,13,13,8,1,stimuli/blank.png,eure,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.4311,,,,,,,,,0.4311,1,0,14,14,11,1,stimuli/blank.png,ich,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.5287,,,,,,,,,0.5287,1,0,15,15,10,1,stimuli/blank.png,andere,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.5436,,,,,,,,,0.5436,1,0,16,16,17,1,stimuli/blank.png,eigene,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.4687,,,,,,,,,0.4687,1,0,17,17,0,1,stimuli/blank.png,andere,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.5479,,,,,,,,,0.5479,1,0,18,18,5,1,stimuli/blank.png,meine,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.5374,,,,,,,,,0.5374,1,0,19,19,9,1,stimuli/blank.png,selbst,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.5616,,,,,,,,,0.5616,1,0,0,0,13,1,stimuli/blank.png,verlogen,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.5137,,,,,,,,,0.5137,1,0,1,1,4,1,stimuli/blank.png,jene,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.4999,,,,,,,,,0.4999,1,0,2,2,8,1,stimuli/blank.png,eure,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.3688,,,,,,,,,0.3688,1,0,3,3,1,1,stimuli/blank.png,ich,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.8206,,,,,,,,,0.8206,1,0,4,4,15,1,stimuli/blank.png,träge,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.5803,,,,,,,,,0.5803,1,0,5,5,3,1,stimuli/blank.png,mir,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.5362,,,,,,,,,0.5362,1,0,6,6,6,1,stimuli/blank.png,euch,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.5967,,,,,,,,,0.5967,1,0,7,7,18,1,stimuli/blank.png,human,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.618,,,,,,,,,0.618,1,0,8,8,14,1,stimuli/blank.png,gerecht,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.4389,,,,,,,,,0.4389,1,0,9,9,12,1,stimuli/blank.png,fröhlich,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.5562,,,,,,,,,0.5562,1,0,10,10,9,1,stimuli/blank.png,selbst,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.5633,,,,,,,,,0.5633,1,0,11,11,16,1,stimuli/blank.png,begabt,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.4774,,,,,,,,,0.4774,1,0,12,12,10,1,stimuli/blank.png,aktiv,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.6975,,,,,,,,,0.6975,1,0,13,13,0,1,stimuli/blank.png,andere,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.6133,,,,,,,,,0.6133,1,0,14,14,17,1,stimuli/blank.png,eitel,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.678,,,,,,,,,0.678,1,0,15,15,7,1,stimuli/blank.png,eigene,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.5075,,,,,,,,,0.5075,1,0,16,16,2,1,stimuli/blank.png,ihr,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.6572,,,,,,,,,0.6572,1,0,17,17,11,1,stimuli/blank.png,brutal,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.5048,,,,,,,,,0.5048,1,0,18,18,5,1,stimuli/blank.png,meine,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.5488,,,,,,,,,0.5488,1,0,19,19,19,1,stimuli/blank.png,lustlos,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.6253,,,,,,,,,0.6253,1,0,0,0,17,1,stimuli/blank.png,eitel,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.4987,,,,,,,,,0.4987,1,0,1,1,11,1,stimuli/blank.png,brutal,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.596,,,,,,,,,0.596,1,0,2,2,10,1,stimuli/blank.png,aktiv,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.4921,,,,,,,,,0.4921,1,0,3,3,31,1,stimuli/blank.png,brutal,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,0,0.5553,,,,,,,,,0.5553,0,0,4,4,39,1,stimuli/blank.png,lustlos,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.5642,,,,,,,,,0.5642,1,0,5,5,32,1,stimuli/blank.png,fröhlich,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.6052,,,,,,,,,0.6052,1,0,6,6,8,1,stimuli/blank.png,eure,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.5333,,,,,,,,,0.5333,1,0,7,7,3,1,stimuli/blank.png,mir,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.6238,,,,,,,,,0.6238,1,0,8,8,36,1,stimuli/blank.png,begabt,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.535,,,,,,,,,0.535,1,0,9,9,26,1,stimuli/blank.png,euch,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.7069,,,,,,,,,0.7069,1,0,10,10,18,1,stimuli/blank.png,human,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.6931,,,,,,,,,0.6931,1,0,11,11,7,1,stimuli/blank.png,eigene,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.5209,,,,,,,,,0.5209,1,0,12,12,0,1,stimuli/blank.png,andere,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.7096,,,,,,,,,0.7096,1,0,13,13,14,1,stimuli/blank.png,gerecht,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.6008,,,,,,,,,0.6008,1,0,14,14,4,1,stimuli/blank.png,jene,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.4726,,,,,,,,,0.4726,1,0,15,15,38,1,stimuli/blank.png,human,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.6125,,,,,,,,,0.6125,1,0,16,16,28,1,stimuli/blank.png,eure,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.4213,,,,,,,,,0.4213,1,0,17,17,12,1,stimuli/blank.png,fröhlich,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.5061,,,,,,,,,0.5061,1,0,18,18,15,1,stimuli/blank.png,träge,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.6475,,,,,,,,,0.6475,1,0,19,19,20,1,stimuli/blank.png,andere,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.4578,,,,,,,,,0.4578,1,0,20,20,13,1,stimuli/blank.png,verlogen,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.5575,,,,,,,,,0.5575,1,0,21,21,25,1,stimuli/blank.png,meine,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.4141,,,,,,,,,0.4141,1,0,22,22,21,1,stimuli/blank.png,ich,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.5338,,,,,,,,,0.5338,1,0,23,23,27,1,stimuli/blank.png,eigene,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.4662,,,,,,,,,0.4662,1,0,24,24,33,1,stimuli/blank.png,verlogen,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.6119,,,,,,,,,0.6119,1,0,25,25,34,1,stimuli/blank.png,gerecht,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.4564,,,,,,,,,0.4564,1,0,26,26,23,1,stimuli/blank.png,mir,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.4634,,,,,,,,,0.4634,1,0,27,27,9,1,stimuli/blank.png,selbst,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.4337,,,,,,,,,0.4337,1,0,28,28,5,1,stimuli/blank.png,meine,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.4973,,,,,,,,,0.4973,1,0,29,29,35,1,stimuli/blank.png,träge,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,0,0.4276,,,,,,,,,0.4276,0,0,30,30,2,1,stimuli/blank.png,ihr,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.5847,,,,,,,,,0.5847,1,0,31,31,22,1,stimuli/blank.png,ihr,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.6624,,,,,,,,,0.6624,1,0,32,32,16,1,stimuli/blank.png,begabt,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.5587,,,,,,,,,0.5587,1,0,33,33,19,1,stimuli/blank.png,lustlos,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.6067,,,,,,,,,0.6067,1,0,34,34,6,1,stimuli/blank.png,euch,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,a,1,0.5056,,,,,,,,,0.5056,1,0,35,35,1,1,stimuli/blank.png,ich,a,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
,,,,,l,1,0.5381,,,,,,,,,0.5381,1,0,36,36,24,1,stimuli/blank.png,jene,l,MC11DT,2023-08-15_11h09.02.186,openIAT,2023.1.3,Win32,66.84938833,
