instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
,,,,,,,0,-0.418292683,-0.301219512,1,0,0,0.558,button_left,0.558,1,0,5,5,13,1,stimuli/blank.png,mir,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.462195122,-0.341463415,1,0,0,0.807,button_right,0.807,1,0,6,6,8,1,stimuli/blank.png,eure,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.42195122,-0.307317073,1,0,0,0.632,button_left,0.632,1,0,7,7,9,1,stimuli/blank.png,selbst,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.419512195,-0.306097561,1,0,0,0.538,button_left,0.538,1,0,8,8,3,1,stimuli/blank.png,mir,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.467073171,-0.336585366,1,0,0,0.656,button_right,0.656,1,0,9,9,0,1,stimuli/blank.png,andere,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.423170732,-0.3,1,0,0,0.875,button_left,0.875,1,0,10,10,19,1,stimuli/blank.png,selbst,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.430487805,-0.295121951,1,0,0,0.639,button_left,0.639,1,0,11,11,15,1,stimuli/blank.png,meine,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.414634146,-0.312195122,1,0,0,0.65,button_left,0.65,1,0,12,12,17,1,stimuli/blank.png,eigene,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.456097561,-0.33902439,1,0,0,0.749,button_right,0.749,1,0,13,13,12,1,stimuli/blank.png,ihr,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.424390244,-0.3,1,0,0,0.783,button_left,0.783,1,0,14,14,11,1,stimuli/blank.png,ich,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.469512195,-0.332926829,1,0,0,0.741,button_right,0.741,1,0,15,15,10,1,stimuli/blank.png,andere,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.462195122,-0.325609756,1,0,0,0.641,button_right,0.641,1,0,16,16,6,1,stimuli/blank.png,euch,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.46097561,-0.336585366,1,0,0,0.576,button_right,0.576,1,0,17,17,16,1,stimuli/blank.png,euch,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.442682927,-0.313414634,1,0,0,0.466,button_left,0.466,1,0,18,18,5,1,stimuli/blank.png,meine,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.457317073,-0.331707317,1,0,0,0.707,button_right,0.707,1,0,19,19,2,1,stimuli/blank.png,ihr,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.457317073,-0.309756098,1,0,0,0.791,button_left,0.791,1,0,0,0,18,1,stimuli/blank.png,human,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.487804878,-0.303658537,1,0,0,0.616,button_left,0.616,1,0,1,1,9,1,stimuli/blank.png,selbst,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.459756098,-0.334146341,1,0,0,0.574,button_right,0.574,1,0,2,2,13,1,stimuli/blank.png,verlogen,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.484146341,-0.313414634,1,0,0,0.6,button_left,0.6,1,0,3,3,10,1,stimuli/blank.png,aktiv,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.457317073,-0.331707317,1,0,0,0.724,button_right,0.724,1,0,4,4,17,1,stimuli/blank.png,eitel,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.462195122,-0.331707317,1,0,0,0.6,button_right,0.6,1,0,5,5,2,1,stimuli/blank.png,ihr,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.454878049,-0.33902439,1,0,0,0.774,button_right,0.774,1,0,6,6,15,1,stimuli/blank.png,träge,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.473170732,-0.32804878,1,0,0,0.632,button_left,0.632,1,0,7,7,3,1,stimuli/blank.png,mir,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
