instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
0.839814815,-0.036111111,0,0,0,l,1,0.817,,,,,,,,,0.817,1,0,0,0,15,1,stimuli/blank.png,träge,l,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,a,1,0.983,,,,,,,,,0.983,1,0,1,1,12,1,stimuli/blank.png,fröhlich,a,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,a,1,0.7341,,,,,,,,,0.7341,1,0,2,2,0,1,stimuli/blank.png,aktiv,a,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,a,1,0.6032,,,,,,,,,0.6032,1,0,3,3,16,1,stimuli/blank.png,begabt,a,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,a,1,0.5847,,,,,,,,,0.5847,1,0,4,4,18,1,stimuli/blank.png,human,a,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,l,1,0.501,,,,,,,,,0.501,1,0,5,5,3,1,stimuli/blank.png,verlogen,l,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,l,1,0.6535,,,,,,,,,0.6535,1,0,6,6,9,1,stimuli/blank.png,lustlos,l,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,l,1,0.4836,,,,,,,,,0.4836,1,0,7,7,19,1,stimuli/blank.png,lustlos,l,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,a,1,0.538,,,,,,,,,0.538,1,0,8,8,6,1,stimuli/blank.png,begabt,a,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,a,0,0.5839,,,,,,,,,0.5839,0,0,9,9,1,1,stimuli/blank.png,brutal,l,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,l,1,0.7335,,,,,,,,,0.7335,1,0,10,10,7,1,stimuli/blank.png,eitel,l,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,l,1,0.5676,,,,,,,,,0.5676,1,0,11,11,5,1,stimuli/blank.png,träge,l,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,l,1,0.6166,,,,,,,,,0.6166,1,0,12,12,11,1,stimuli/blank.png,brutal,l,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,a,1,0.6575,,,,,,,,,0.6575,1,0,13,13,4,1,stimuli/blank.png,gerecht,a,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,a,1,0.5724,,,,,,,,,0.5724,1,0,14,14,14,1,stimuli/blank.png,gerecht,a,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,a,1,0.4757,,,,,,,,,0.4757,1,0,15,15,10,1,stimuli/blank.png,aktiv,a,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,a,1,0.5667,,,,,,,,,0.5667,1,0,16,16,2,1,stimuli/blank.png,fröhlich,a,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,a,1,0.5196,,,,,,,,,0.5196,1,0,17,17,8,1,stimuli/blank.png,human,a,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,l,1,0.5752,,,,,,,,,0.5752,1,0,18,18,13,1,stimuli/blank.png,verlogen,l,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,l,1,0.5567,,,,,,,,,0.5567,1,0,19,19,17,1,stimuli/blank.png,eitel,l,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,a,1,0.5835,,,,,,,,,0.5835,1,0,0,0,11,1,stimuli/blank.png,ich,a,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,a,1,0.6513,,,,,,,,,0.6513,1,0,1,1,7,1,stimuli/blank.png,eigene,a,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,a,1,0.4716,,,,,,,,,0.4716,1,0,2,2,13,1,stimuli/blank.png,mir,a,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,l,1,0.6869,,,,,,,,,0.6869,1,0,3,3,14,1,stimuli/blank.png,jene,l,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,a,0,0.6342,,,,,,,,,0.6342,0,0,4,4,0,1,stimuli/blank.png,andere,l,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,l,1,0.6836,,,,,,,,,0.6836,1,0,5,5,16,1,stimuli/blank.png,euch,l,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,a,1,0.6043,,,,,,,,,0.6043,1,0,6,6,5,1,stimuli/blank.png,meine,a,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,a,1,0.5705,,,,,,,,,0.5705,1,0,7,7,15,1,stimuli/blank.png,meine,a,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,l,1,0.6722,,,,,,,,,0.6722,1,0,8,8,10,1,stimuli/blank.png,andere,l,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,l,1,0.6006,,,,,,,,,0.6006,1,0,9,9,6,1,stimuli/blank.png,euch,l,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,a,1,0.708,,,,,,,,,0.708,1,0,10,10,17,1,stimuli/blank.png,eigene,a,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,a,1,0.5412,,,,,,,,,0.5412,1,0,11,11,1,1,stimuli/blank.png,ich,a,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,a,1,0.5414,,,,,,,,,0.5414,1,0,12,12,3,1,stimuli/blank.png,mir,a,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,a,1,0.6665,,,,,,,,,0.6665,1,0,13,13,9,1,stimuli/blank.png,selbst,a,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,l,1,0.6219,,,,,,,,,0.6219,1,0,14,14,4,1,stimuli/blank.png,jene,l,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,l,1,0.6331,,,,,,,,,0.6331,1,0,15,15,12,1,stimuli/blank.png,ihr,l,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,l,1,0.4336,,,,,,,,,0.4336,1,0,16,16,2,1,stimuli/blank.png,ihr,l,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,a,1,0.626,,,,,,,,,0.626,1,0,17,17,19,1,stimuli/blank.png,selbst,a,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
,,,,,l,1,0.6177,,,,,,,,,0.6177,1,0,18,18,18,1,stimuli/blank.png,eure,l,DR07EA,2023-08-12_13h05.44.604,openIAT,2023.1.3,Win32,59.95203837,
