"id","rses_1","rses_2","rses_3","rses_4","rses_5","rses_6","rses_7","rses_8","rses_9","rses_10","rses"
"LD11VK",6,7,6,4,7,7,6,7,7,6,6.3
"KR01DS",5,3,5,5,3,3,6,3,3,4,4
"KR09AE",7,5,7,7,7,5,7,4,7,7,6.3
"SM06HN",4,2,7,7,7,3,6,7,7,6,5.6
"SL09MC",6,7,7,7,6,4,7,1,6,6,5.7
"BT09VL",7,6,6,6,7,7,7,5,7,7,6.5
"SM01MR",6,6,6,6,6,6,6,5,7,6,6
"DR07EA",5,6,6,5,5,6,7,4,7,6,5.7
"BT02IG",5,3,6,6,6,4,5,3,5,6,4.9
"SL06CR",2,2,6,5,5,6,3,1,3,3,3.6
"GB06JH",7,7,6,6,7,7,6,6,7,7,6.6
"AN01TO",6,5,6,6,6,6,6,4,6,7,5.8
"AE08TO",5,1,6,5,6,1,4,2,2,4,3.6
"SE06HL",6,7,7,6,7,7,7,6,7,5,6.5
"UE06UR",6,6,7,7,5,6,7,7,7,6,6.4
"CA06FI",3,2,6,5,4,2,7,3,3,6,4.1
"AN10JR",6,6,5,4,5,4,5,6,6,5,5.2
"MC11DT",6,6,5,7,7,7,7,6,7,7,6.5
"UA12TO",6,6,6,6,7,7,6,4,7,6,6.1
"II08ER",5,3,6,6,5,4,5,2,6,4,4.6
"DR10AD",6,3,5,5,5,5,5,3,5,5,4.7
"DN01SE",2,3,6,5,3,6,6,2,5,3,4.1
"BT08RL",6,2,6,6,6,5,6,3,6,6,5.2
"AD09HL",6,5,6,6,7,7,6,4,3,7,5.7
"AN02DE",5,5,7,5,7,6,7,5,7,6,6
"SS01OI",6,7,6,5,7,7,6,6,7,7,6.4
"EA03AE",7,6,7,6,7,7,7,7,7,7,6.8
"WL03LD",7,6,7,7,7,5,7,7,7,7,6.7
"IG07RL",2,3,6,4,3,3,3,3,4,4,3.5
"BO08FA",6,7,7,7,7,7,7,7,7,7,6.9
"EI06AE",7,7,6,6,7,7,7,6,7,6,6.6
"SE01EI",6,2,7,7,5,2,7,1,3,5,4.5
"SF06IM",6,5,6,4,4,4,5,3,7,6,5
"DR02RL",3,7,5,5,6,7,6,6,7,4,5.6
"UE05TO",6,1,7,5,5,1,7,3,3,6,4.4
"RZ12JN",6,6,7,7,7,3,7,1,6,7,5.7
"TN10HL",3,2,5,2,6,3,5,3,4,2,3.5
"MR11HI",5,4,6,5,6,4,6,2,4,5,4.7
"AT04IA",1,7,2,2,7,6,3,4,6,3,4.1
"SN02VL",6,3,6,5,6,5,7,2,5,5,5
"LN07AD",6,6,7,6,7,6,7,3,7,6,6.1
"FH01FO",3,2,5,3,2,1,3,2,2,4,2.7
"AD09JN",6,6,7,7,7,7,7,3,7,5,6.2
"KT12SE",6,4,5,6,6,6,7,5,6,6,5.7
"ML07SE",6,7,6,7,7,6,7,5,6,5,6.2
"AG12SE",5,5,5,5,6,7,7,7,7,6,6
"SE04TO",6,6,6,6,7,6,6,7,7,6,6.3
"RF04PT",6,7,7,5,6,5,6,5,7,6,6
"SN01WL",7,5,7,7,7,7,7,3,7,7,6.4
"RT12RL",7,7,7,7,7,7,7,7,7,7,7
"UR07RL",1,1,5,5,2,1,6,1,1,1,2.4
"UR05RL",5,6,5,5,6,6,5,4,6,5,5.3
