"vpncode","nlt_1","nlt_2","nlt_3","nlt_4","nlt_5","nlt_6","nlt_7","nlt_8","nlt_9","nlt_10","nlt_11","nlt_12","nlt_13","nlt_14","nlt_15","nlt_16","nlt_17","nlt_18","nlt_19","nlt_20","nlt_21","nlt_22","nlt_23","nlt_24","nlt_25","nlt_26","initial","nlt_1_noni","nlt_2_noni","nlt_3_noni","nlt_4_noni","nlt_5_noni","nlt_6_noni","nlt_7_noni","nlt_8_noni","nlt_9_noni","nlt_10_noni","nlt_11_noni","nlt_12_noni","nlt_13_noni","nlt_14_noni","nlt_15_noni","nlt_16_noni","nlt_17_noni","nlt_18_noni","nlt_19_noni","nlt_20_noni","nlt_21_noni","nlt_22_noni","nlt_23_noni","nlt_24_noni","nlt_25_noni","nlt_26_noni","initial_r","initial_r1","initial_r2","initial_r3","initial_r4","mean_noni","nlt_1_sub","nlt_2_sub","nlt_3_sub","nlt_4_sub","nlt_5_sub","nlt_6_sub","nlt_7_sub","nlt_8_sub","nlt_9_sub","nlt_10_sub","nlt_11_sub","nlt_12_sub","nlt_13_sub","nlt_14_sub","nlt_15_sub","nlt_16_sub","nlt_17_sub","nlt_18_sub","nlt_19_sub","nlt_20_sub","nlt_21_sub","nlt_22_sub","nlt_23_sub","nlt_24_sub","nlt_25_sub","nlt_26_sub","ipf1","ipf2","ipf3","ipf4","ipf5","score"
"RT12RL",4,4,4,4,2,2,4,1,2,4,2,2,4,4,5,4,5,4,4,2,5,2,2,2,4,2,"A M M",4,4,4,4,2,2,4,1,2,4,2,2,NA,4,5,4,5,4,4,2,5,2,2,2,4,2,"AMM","A","M","M","",3.2,0.8,0.8,0.8,0.8,-1.2,-1.2,0.8,-2.2,-1.2,0.8,-1.2,-1.2,0.8,0.8,1.8,0.8,1.8,0.8,0.8,-1.2,1.8,-1.2,-1.2,-1.2,0.8,-1.2,3.13288103201147,3.03350215002389,3.03350215002389,NA,NA,3.06662844401975
"UR07RL",5,3,2,3,5,5,1,1,5,2,5,2,5,4,5,5,2,5,4,3,5,1,4,1,4,3,"E.C.O.",5,3,2,3,5,5,1,1,5,2,5,2,5,4,NA,5,2,5,4,3,5,1,4,1,4,3,"ECO","E","C","O","",3.4,1.6,-0.4,-1.4,-0.4,1.6,1.6,-2.4,-2.4,1.6,-1.4,1.6,-1.4,1.6,0.6,1.6,1.6,-1.4,1.6,0.6,-0.4,1.6,-2.4,0.6,-2.4,0.6,-0.4,4.77884376493072,2.18878165312948,4.7477878643096,NA,NA,3.90513776078993
"UR05RL",3,3,3,3,5,5,5,5,5,3,5,3,4,3,5,4,3,5,5,4,5,3,3,3,3,3,"K.F.O.",3,3,3,3,5,5,5,5,5,3,5,3,4,3,NA,4,3,5,5,4,5,3,3,3,3,3,"KFO","K","F","O","",3.84,-0.84,-0.84,-0.84,-0.84,1.16,1.16,1.16,1.16,1.16,-0.84,1.16,-0.84,0.16,-0.84,1.16,0.16,-0.84,1.16,1.16,0.16,1.16,-0.84,-0.84,-0.84,-0.84,-0.84,5.1142474916388,5.39996177735308,4.7477878643096,NA,NA,5.08733237776716
"HL03PT",4,4,3,3,2,2,1,5,4,3,3,5,5,3,4,5,1,3,4,2,3,1,5,2,1,1,"LW",4,4,3,3,2,2,1,5,4,3,3,5,5,3,4,5,1,3,4,2,3,1,NA,2,1,1,"LW","L","W","","",2.96,1.04,1.04,0.04,0.04,-0.96,-0.96,-1.96,2.04,1.04,0.04,0.04,2.04,2.04,0.04,1.04,2.04,-1.96,0.04,1.04,-0.96,0.04,-1.96,2.04,-0.96,-1.96,-1.96,4.73536550406116,5.18878165312948,NA,NA,NA,4.96207357859532
"AE03TO",4,4,2,2,3,2,2,4,2,2,2,4,5,2,2,1,1,2,4,2,2,3,2,4,4,4,"MR",4,4,2,2,3,2,2,4,2,2,2,4,5,2,2,1,1,NA,4,2,2,3,2,4,4,4,"MR","M","R","","",2.76,1.24,1.24,-0.76,-0.76,0.24,-0.76,-0.76,1.24,-0.76,-0.76,-0.76,1.24,2.24,-0.76,-0.76,-1.76,-1.76,-0.76,1.24,-0.76,-0.76,0.24,-0.76,1.24,1.24,1.24,4.03350215002389,2.1949928332537,NA,NA,NA,3.1142474916388
"SS09JH",2,4,4,4,3,3,2,3,2,3,1,3,2,3,1,3,1,2,4,4,3,2,2,1,1,3,"L L",2,4,4,4,3,3,2,3,2,3,1,NA,2,3,1,3,1,2,4,4,3,2,2,1,1,3,"LL","L","L","","",2.52,-0.52,1.48,1.48,1.48,0.48,0.48,-0.52,0.48,-0.52,0.48,-1.52,0.48,-0.52,0.48,-1.52,0.48,-1.52,-0.52,1.48,1.48,0.48,-0.52,-0.52,-1.52,-1.52,0.48,2.73536550406116,2.73536550406116,NA,NA,NA,2.73536550406116
"JN06AM",4,4,2,3,2,2,2,2,4,4,3,2,4,3,4,4,2,2,2,2,3,2,4,2,2,2,"JMW",4,4,2,3,2,2,2,2,4,4,3,2,4,3,4,4,2,2,2,2,3,2,NA,2,2,2,"JMW","J","M","W","",2.72,1.28,1.28,-0.72,0.28,-0.72,-0.72,-0.72,-0.72,1.28,1.28,0.28,-0.72,1.28,0.28,1.28,1.28,-0.72,-0.72,-0.72,-0.72,0.28,-0.72,1.28,-0.72,-0.72,-0.72,3.99623506927855,3.03350215002389,4.18878165312948,NA,NA,3.73950629081064
"HI05MR",4,4,3,4,2,2,4,3,4,4,2,4,2,3,3,2,1,1,2,1,3,1,2,3,1,2,"JH",4,4,3,4,2,2,4,NA,4,4,2,4,2,3,3,2,1,1,2,1,3,1,2,3,1,2,"JH","J","H","","",2.56,1.44,1.44,0.44,1.44,-0.56,-0.56,1.44,0.44,1.44,1.44,-0.56,1.44,-0.56,0.44,0.44,-0.56,-1.56,-1.56,-0.56,-1.56,0.44,-1.56,-0.56,0.44,-1.56,-0.56,3.99623506927855,3.05213569039656,NA,NA,NA,3.52418537983755
"OA03VL",4,2,2,4,2,1,4,5,3,1,2,5,4,2,4,4,5,4,3,2,3,3,4,5,4,3,"NR",4,2,2,4,2,1,4,5,3,1,2,5,4,2,4,4,5,NA,3,2,3,3,4,5,4,3,"NR","N","R","","",3.24,0.76,-1.24,-1.24,0.76,-1.24,-2.24,0.76,1.76,-0.24,-2.24,-1.24,1.76,0.76,-1.24,0.76,0.76,1.76,0.76,-0.24,-1.24,-0.24,-0.24,0.76,1.76,0.76,-0.24,1.69809842331581,4.1949928332537,NA,NA,NA,2.94654562828476
"JS08VC",5,4,2,3,4,3,2,2,3,2,3,4,5,5,2,3,1,3,5,2,1,1,1,1,1,1,"EDBM",5,4,2,3,4,3,2,2,3,2,3,4,NA,5,2,3,1,3,5,2,1,1,1,1,1,1,"EDBM","E","D","B","M",2.56,2.44,1.44,-0.56,0.44,1.44,0.44,-0.56,-0.56,0.44,-0.56,0.44,1.44,2.44,2.44,-0.56,0.44,-1.56,0.44,2.44,-0.56,-1.56,-1.56,-1.56,-1.56,-1.56,-1.56,3.77884376493072,2.79126612517917,3.73536550406116,4.03350215002389,NA,3.58474438604873
