"id","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","hsns"
"BT09VL",2,4,2,1,2,2,3,3,4,2,2.5
"SM01MR",3,4,3,3,2,2,3,4,4,1,2.9
"DR07EA",4,3,2,2,5,4,4,2,4,3,3.3
"BT02IG",4,5,2,1,2,3,4,3,4,1,2.9
"SL06CR",4,5,3,5,1,4,5,3,5,1,3.6
"GB06JH",5,4,2,3,4,5,5,2,4,1,3.5
"AN01TO",4,4,3,2,2,3,4,2,2,1,2.7
"AE08TO",5,4,4,1,1,3,4,2,1,1,2.6
"SE06HL",5,3,3,4,1,4,4,1,2,1,2.8
"UE06UR",4,5,2,2,2,2,4,1,5,1,2.8
"CA06FI",4,1,1,1,1,2,1,2,5,1,1.9
"AN10JR",3,4,4,3,2,4,3,3,3,3,3.2
"MC11DT",3,2,1,2,1,1,2,1,2,1,1.6
"UA12TO",3,4,2,4,2,2,3,3,4,2,2.9
"II08ER",5,4,2,4,4,5,3,4,5,2,3.8
"DR10AD",4,2,3,2,2,4,4,4,4,2,3.1
"DN01SE",4,1,2,2,2,4,3,4,4,2,2.8
"BT08RL",4,3,4,4,5,2,2,3,4,3,3.4
"AD09HL",5,4,4,2,3,3,4,2,5,1,3.3
"AN02DE",4,4,2,2,2,3,4,3,3,2,2.9
"SS01OI",5,3,4,2,4,2,4,4,4,2,3.4
"EA03AE",5,4,1,2,3,4,3,2,4,1,2.9
"WL03LD",5,3,1,1,1,2,4,1,5,1,2.4
"IG07RL",5,5,2,4,4,2,4,5,5,1,3.7
"BO08FA",4,5,3,3,3,4,5,3,3,4,3.7
"EI06AE",4,2,2,2,1,1,3,2,2,1,2
"SE01EI",4,3,1,1,2,4,4,4,4,1,2.8
"SF06IM",3,4,1,1,3,3,4,5,4,1,2.9
"DR02RL",4,2,5,1,3,1,4,1,4,1,2.6
"UE05TO",4,5,2,1,1,2,5,2,4,1,2.7
"RZ12JN",5,3,5,5,5,5,3,4,5,3,4.3
"TN10HL",5,5,4,1,4,3,4,4,4,2,3.6
"MR11HI",4,4,4,1,3,4,4,3,2,1,3
"AT04IA",3,3,2,3,4,2,3,4,3,3,3
"SN02VL",4,4,4,2,1,4,4,1,5,1,3
"LN07AD",5,3,2,3,4,2,3,3,4,1,3
"FH01FO",3,5,4,2,2,4,3,2,4,3,3.2
"AD09JN",4,2,3,2,4,1,2,3,2,1,2.4
"KT12SE",4,4,4,2,2,3,4,3,3,1,3
"ML07SE",2,1,3,1,2,4,2,2,5,2,2.4
"AG12SE",5,5,3,2,2,4,4,1,4,4,3.4
"SE04TO",5,3,2,2,1,1,2,4,4,1,2.5
"RF04PT",3,4,4,3,3,2,2,2,4,2,2.9
"SN01WL",5,5,2,2,2,3,5,2,4,2,3.2
"RT12RL",4,4,2,2,2,1,1,2,2,2,2.2
"UR07RL",2,5,5,1,2,4,4,4,5,1,3.3
"UR05RL",3,3,2,2,4,4,3,2,4,2,2.9
"HL03PT",2,2,1,2,3,2,1,2,2,1,1.8
"AE03TO",4,2,3,1,1,3,2,2,4,1,2.3
"SS09JH",4,4,4,2,2,2,4,3,3,1,2.9
"JN06AM",3,4,2,2,3,2,4,2,3,1,2.6
"HI05MR",2,5,2,2,1,3,5,2,2,1,2.5
"OA03VL",4,4,1,1,1,4,4,2,4,1,2.6
"JS08VC",4,4,1,3,3,2,4,2,3,1,2.7
"JD01HR",4,5,5,1,2,1,4,1,3,1,2.7
"BT08EW",4,4,2,1,2,4,4,1,4,1,2.7
"IS02AE",5,4,2,2,2,4,3,2,2,2,2.8
"RG08MR",4,4,2,1,2,4,5,3,1,1,2.7
"AD09DR",4,2,1,2,2,2,4,2,1,1,2.1
"SS05HR",5,5,4,4,4,5,5,2,5,4,4.3
"NE01TH",4,4,1,4,1,2,4,2,1,1,2.4
"JH12MR",3,4,4,2,3,4,4,2,4,2,3.2
"IG03RM",4,5,4,4,2,3,3,2,4,1,3.2
"AN07DR",4,3,3,1,3,4,4,2,3,3,3
"UR12TR",4,3,3,2,1,2,3,1,3,1,2.3
"BR12TO",4,2,3,2,1,1,1,3,4,1,2.2
"HL20VK",4,3,4,1,0,3,3,3,3,1,2.5
"LC09FN",5,2,2,1,3,2,2,4,5,2,2.8
"WB02MC",5,3,2,2,4,4,4,3,4,2,3.3
"RO12MA",5,2,3,2,4,4,4,5,3,5,3.7
"IN08OE",3,2,1,1,2,5,4,2,3,4,2.7
"GL07NB",5,4,4,2,3,3,4,3,5,2,3.5
"DN12MS",4,4,5,2,2,4,1,4,4,2,3.2
"KR12RL",2,3,3,2,3,4,4,2,3,3,2.9
"SM11RC",1,2,1,1,2,1,4,5,1,1,1.9
"GL09IM",5,4,2,4,4,3,5,3,4,4,3.8
"BI11WL",2,3,1,3,5,4,5,2,4,3,3.2
"SB08DM",4,4,4,3,4,4,4,2,3,2,3.4
"WL09EK",4,5,4,2,4,4,4,4,4,2,3.7
"PG11WL",5,4,5,1,3,1,5,1,5,1,3.1
"HL04MR",5,5,5,2,1,4,5,1,3,2,3.3
"JN06MR",2,3,2,2,2,2,3,1,2,2,2.1
"HI06CR",4,5,3,4,3,4,4,2,4,1,3.4
