"id","iri_1","iri_2","iri_3","iri_4","iri_5","iri_6","iri_7","iri_8","iri_9","iri_10","iri_11","iri_12","iri_13","iri_14","iri_15","iri_16","iri_ec","iri_pt","iri_f","iri_pd"
"HI01IG",5,5,4,4,5,3,5,2,5,4,5,5,1,2,4,3,5,3.25,4.75,2.5
"KT12EI",4,4,4,3,4,4,4,3,5,4,5,4,2,4,5,4,4.5,3.75,4.25,3.25
"KT07HN",4,5,4,5,5,3,4,2,4,5,5,5,1,5,5,5,4.5,5,4.75,2.5
"MR02OI",4,5,5,5,4,5,4,3,4,5,4,4,5,5,4,5,4,5,4.25,4.5
"AE11CR",1,4,2,3,4,5,2,4,3,4,3,3,2,1,4,5,2.75,3.25,3.25,3.25
"AI02RB",5,3,3,4,4,3,5,4,4,4,4,3,2,4,3,3,4.25,3.75,3.5,3
"DR09FA",5,5,4,5,5,2,5,2,4,5,3,5,2,5,5,4,4.25,4.75,5,2.5
"SS09MR",5,5,2,2,5,1,3,1,3,4,2,5,2,3,5,3,3.75,3,4.5,1.5
"SM11HN",5,5,1,5,4,1,5,1,2,5,5,4,1,5,4,5,4,5,4.5,1
"AE03HN",5,3,5,5,5,5,3,5,4,4,3,2,4,3,2,3,4.25,3.75,2.5,4.75
"AJ10AK",5,5,5,2,4,2,5,3,5,5,5,5,4,4,5,1,4.75,3,5,3.5
"BI10DE",5,4,2,5,5,2,5,2,5,4,4,5,2,4,5,4,4.75,4.25,4.75,2
"NT02CR",4,4,2,5,5,4,3,4,5,5,4,5,2,4,5,4,4.5,4.5,4.25,3
"BA01MC",4,3,1,5,4,5,5,5,5,5,3,2,1,3,1,5,4,4.5,2.75,3
"AE05TB",4,5,4,4,4,3,4,3,3,4,4,5,3,4,5,4,3.75,4,4.75,3.25
"AD06VL",5,4,2,4,4,2,4,2,4,5,4,4,2,5,4,5,4.25,4.75,4,2
"MC10TO",5,5,5,4,5,4,2,4,4,4,4,4,4,3,4,4,4.5,3.75,3.75,4.25
"MR10JR",5,5,3,4,4,2,4,2,4,4,4,5,3,4,5,4,4.25,4,4.75,2.5
"EK06BR",3,3,2,3,3,4,4,3,3,3,2,2,2,2,2,4,2.75,3,2.75,2.75
"MR07TO",4,5,4,3,4,5,2,5,3,3,4,5,1,4,3,2,3.75,3,3.75,3.75
"FT05SY",5,4,2,4,5,3,5,2,5,4,5,5,4,4,4,3,5,3.75,4.5,2.75
"MOZ08S",4,4,5,2,2,4,2,4,3,4,4,3,4,4,3,4,3.25,3.5,3,4.25
"MR09RB",4,4,5,5,5,5,4,5,4,4,4,4,5,4,4,4,4.25,4.25,4,5
"SE01DE",3,4,2,5,4,2,4,2,2,5,5,5,1,4,4,4,3.5,4.5,4.25,1.75
"MR01SE",4,4,5,4,3,5,4,5,4,4,3,2,2,4,2,4,3.5,4,3,4.25
"CR07HL",5,4,4,3,4,4,3,4,5,4,4,5,3,3,4,3,4.5,3.25,4,3.75
"KR01WR",4,4,4,4,4,4,3,5,3,4,4,3,4,2,4,3,3.75,3.25,3.5,4.25
"AK04WL",4,4,1,5,5,5,4,5,3,5,2,4,2,3,3,4,3.5,4.25,3.75,3.25
"MN06CA",5,5,3,5,4,3,3,4,5,5,5,5,3,4,5,4,4.75,4.5,4.5,3.25
"LL08PT",4,4,4,4,3,2,3,2,4,4,4,4,3,3,4,3,3.75,3.5,3.75,2.75
"SM03SM",5,5,3,4,4,3,4,3,5,4,5,5,1,3,4,4,4.75,3.75,4.5,2.5
"RG05BC",5,5,4,5,5,4,5,4,4,5,4,5,1,4,5,4,4.5,4.5,5,3.25
"GL09MH",5,5,2,5,5,2,3,4,5,5,5,5,2,5,4,5,5,5,4.25,2.5
"SR10DA",5,5,2,5,4,2,5,4,5,5,4,5,3,5,5,4,4.5,4.75,5,2.75
"AS05MH",3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.25,3
"TN11HL",3,4,2,5,5,3,5,3,4,5,4,5,2,3,4,4,4,4.25,4.5,2.5
"HN05YS",5,4,3,2,4,4,5,2,3,3,4,3,2,3,2,3,4,2.75,3.5,2.75
"VL08ZK",4,3,3,5,4,3,2,3,5,5,5,5,3,5,5,4,4.5,4.75,3.75,3
"KR09AF",4,5,1,4,4,5,3,3,4,5,5,4,2,4,4,4,4.25,4.25,4,2.75
