"id","npi_1","npi_2","npi_3","npi_4","npi_5","npi_6","npi_7","npi_8","npi_9","npi_10","npi_11","npi_12","npi_13","npi_1r","npi_2r","npi_3r","npi_4r","npi_5r","npi_6r","npi_7r","npi_8r","npi_9r","npi_10r","npi_11r","npi_12r","npi_13r","gnpi_la","gnpi_ge","gnpi_ee","gnpi"
"KR09AF",2,2,1,2,1,1,2,2,1,2,1,2,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0.6,0.5,0.384615384615385
"CA02MR",1,2,2,1,2,2,2,1,1,1,2,1,2,1,0,1,1,1,1,1,0,1,1,0,1,0,0.75,0.8,0.5,0.692307692307692
"SE07UF",2,2,1,1,2,1,1,2,2,2,2,2,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0.25,0.4,0,0.230769230769231
"SB12KR",1,1,2,2,1,1,2,1,1,2,2,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0.75,0.4,0,0.384615384615385
"AJ10TO",1,2,2,2,1,1,1,1,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.153846153846154
"SS03FA",1,2,1,2,1,1,1,1,2,1,2,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0,0.25,0.153846153846154
"CR04EW",2,2,1,2,1,2,2,1,1,2,2,2,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.6,0,0.230769230769231
"SB01MC",2,2,1,2,1,1,1,1,2,1,1,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.5,0.153846153846154
"MN09JA",1,2,2,2,1,1,1,1,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0.5,0,0.25,0.230769230769231
"SB12HL",1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,0,1,0,0,0,0,1,1,0,0,0,0.75,0.2,0.25,0.384615384615385
"PT02RC",1,2,2,2,2,1,1,1,1,1,2,2,2,1,0,1,0,1,0,0,0,1,1,0,0,0,0.5,0.4,0.25,0.384615384615385
"SL03HL",2,2,1,1,1,1,1,1,2,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0,0.0769230769230769
"AD12HU",1,2,2,2,1,2,2,1,1,2,2,2,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0.5,0.6,0.25,0.461538461538462
"HL08RL",2,2,1,2,1,1,1,1,2,1,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.25,0.0769230769230769
"SM06AD",1,2,1,2,1,2,2,1,2,2,2,2,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0.25,0.4,0,0.230769230769231
"UE03HN",1,2,2,2,2,2,2,1,1,1,1,1,2,1,0,1,0,1,1,1,0,1,1,1,1,0,0.5,0.8,0.75,0.692307692307692
"AN03OT",1,2,2,2,1,2,2,2,1,2,2,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0.5,0.8,0.5,0.615384615384615
"CN10MC",2,2,2,1,1,1,1,2,1,1,1,2,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0.5,0.4,0.75,0.538461538461538
"SS08CR",2,2,1,2,1,2,2,1,1,2,2,2,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.6,0,0.230769230769231
"DN09BR",2,2,1,2,1,2,2,2,1,1,1,2,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0.8,0.75,0.538461538461538
"NN08SE",1,1,2,2,1,1,2,2,2,2,2,2,2,1,1,1,0,0,0,1,1,0,0,0,0,0,0.75,0.4,0,0.384615384615385
"CR09SE",2,2,1,2,2,2,2,1,1,2,1,2,2,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0.8,0.25,0.384615384615385
"KR08EI",1,2,1,2,2,1,1,1,2,2,2,1,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0.25,0.2,0.25,0.230769230769231
"BA08AD",2,2,1,2,1,2,2,2,1,2,2,2,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0.8,0,0.307692307692308
"KR04SB",2,2,2,1,1,2,2,2,1,2,2,2,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0.5,0.8,0.25,0.538461538461538
"RG12CR",1,2,2,2,1,2,1,1,2,2,2,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0.5,0.2,0,0.230769230769231
