"id","npi_1","npi_2","npi_3","npi_4","npi_5","npi_6","npi_7","npi_8","npi_9","npi_10","npi_11","npi_12","npi_13","npi_1r","npi_2r","npi_3r","npi_4r","npi_5r","npi_6r","npi_7r","npi_8r","npi_9r","npi_10r","npi_11r","npi_12r","npi_13r","gnpi_la","gnpi_ge","gnpi_ee","gnpi"
"NN01SS",1,2,1,2,1,2,2,1,1,2,1,2,2,1,0,0,0,0,1,1,0,1,0,1,0,0,0.25,0.6,0.25,0.384615384615385
"GB10TO",2,2,1,2,1,2,2,1,1,2,2,2,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0.6,0.25,0.307692307692308
"NT09TO",2,2,1,1,2,2,2,1,1,1,2,2,2,0,0,0,1,1,1,1,0,1,1,0,0,0,0.25,0.8,0.25,0.461538461538462
"DR11KA",1,2,1,2,1,2,1,1,1,1,2,2,2,1,0,0,0,0,1,0,0,1,1,0,0,0,0.25,0.4,0.25,0.307692307692308
"HI09HR",1,2,1,2,1,2,2,2,1,2,1,2,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0.25,0.8,0.5,0.538461538461538
"FA12CR",2,2,1,2,1,1,2,1,1,1,2,2,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0.4,0.5,0.307692307692308
"SS12DR",2,2,1,2,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CR10TO",1,1,2,1,1,1,2,1,1,2,2,1,2,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0.4,0.25,0.538461538461538
"LD11VK",2,2,1,2,1,2,2,1,1,1,2,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0.6,0.75,0.461538461538462
"KR01DS",2,2,1,2,1,1,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.2,0.5,0.230769230769231
"KR09AE",2,2,1,2,1,2,2,1,1,2,2,2,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.6,0,0.230769230769231
"SM06HN",1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"SL09MC",2,2,1,2,1,1,2,1,1,2,2,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.4,0,0.153846153846154
"BT09VL",1,2,1,2,1,1,2,2,1,1,2,2,2,1,0,0,0,0,0,1,1,1,1,0,0,0,0.25,0.6,0.25,0.384615384615385
"SM01MR",2,2,1,2,1,1,2,1,1,2,2,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.4,0,0.153846153846154
"DR07EA",1,2,1,1,1,1,1,2,1,2,2,1,2,1,0,0,1,0,0,0,1,1,0,0,1,0,0.5,0.4,0.25,0.384615384615385
"BT02IG",2,2,1,1,1,2,1,1,2,2,2,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0.25,0.2,0,0.153846153846154
"SL06CR",2,2,1,2,1,2,1,1,1,2,1,2,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.4,0.25,0.230769230769231
"GB06JH",2,2,2,2,2,1,2,1,1,1,2,2,2,0,0,1,0,1,0,1,0,1,1,0,0,0,0.25,0.6,0.25,0.384615384615385
"AN01TO",2,2,1,2,1,1,2,1,2,2,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2,0,0.0769230769230769
