"id","rses_1","rses_2","rses_3","rses_4","socSit","socInt","excl","rses_total","compliance","duration"
"AD02OH",5.25,4.5,4.75,4.25,79.5,36,4,4.6875,0.285714285714286,2
"AD06KA",3.54761904761905,4.01190476190476,4.1547619047619,4.61904761904762,56.3333333333333,57.0119047619048,5.71428571428571,4.08333333333333,0.857142857142857,14
"AD06VL",6.93617021276596,6.8936170212766,1.02127659574468,1.03191489361702,86.3297872340426,79.7765957446808,6.97872340425532,3.97074468085106,0.959183673469388,14
"AD09AS",5.44,5.52,2.4,2.6,75.08,42.36,4,3.99,0.714285714285714,5
"AD09DR",6.29896907216495,6.8659793814433,1.1340206185567,1.92783505154639,73.6907216494845,69.8865979381443,5.79381443298969,4.05670103092783,0.989795918367347,14
"AD09HL",4.67816091954023,4.86206896551724,2.89655172413793,3.40229885057471,47.2758620689655,39.3333333333333,5.18390804597701,3.95977011494253,0.887755102040816,14
"AD09JN",5.76,7,1,2.2,93.6,90.8666666666667,6.44,3.99,0.892857142857143,12
"AD09PT",6.70731707317073,6.75609756097561,1.14634146341463,1.53658536585366,62.0243902439024,43.0243902439024,6.51219512195122,4.03658536585366,0.418367346938776,14
"AD12HU",5.94736842105263,6.01315789473684,2.03947368421053,2.02631578947368,78.7105263157895,66.1184210526316,6.03947368421053,4.00657894736842,0.775510204081633,14
"AE03HN",2.72413793103448,2.64367816091954,5.47126436781609,5.51724137931035,39.6781609195402,25.7241379310345,4.14942528735632,4.08908045977012,0.887755102040816,14
"AE03TO",6.13924050632911,6.84810126582278,1.11392405063291,1.86075949367089,68.2911392405063,54.4050632911392,5.72151898734177,3.99050632911392,0.806122448979592,14
"AE05TB",4.96428571428571,4.97619047619048,3.05952380952381,3.08333333333333,41.9166666666667,20.3214285714286,4.53571428571429,4.02083333333333,0.857142857142857,14
"AE08TO",4.18604651162791,4.65116279069767,3.19767441860465,3.90697674418605,39.7093023255814,17.6511627906977,4,3.98546511627907,0.819047619047619,15
"AE11CR",4.43333333333333,5.77777777777778,1.46666666666667,3.71111111111111,29.7444444444444,11.7555555555556,4.33333333333333,3.84722222222222,0.918367346938776,14
"AG01PT",5.57142857142857,6.71428571428571,1.07142857142857,2.25,76.4642857142857,64.25,5.21428571428571,3.90178571428571,0.307692307692308,13
"AG06DE",5.25714285714286,5.65714285714286,2.28571428571429,2.72857142857143,89.9428571428571,81.5,6.02857142857143,3.98214285714286,0.714285714285714,14
"AG09RI",6.5,6.45652173913043,1.5,1.65217391304348,77.4565217391304,77.9347826086957,6.45652173913043,4.02717391304348,0.328571428571429,20
"AG12SE",5.0421052631579,6.68421052631579,1.14736842105263,2.98947368421053,60.2421052631579,52.0947368421053,5.42105263157895,3.96578947368421,0.969387755102041,14
"AI02RB",6.03296703296703,6.86813186813187,1.2967032967033,2.08791208791209,66.4835164835165,44.8901098901099,4.68131868131868,4.07142857142857,0.928571428571429,14
"AJ04SE",5.67368421052632,6.21052631578947,1.37894736842105,2.51578947368421,54.0210526315789,38.4631578947368,4.97894736842105,3.94473684210526,0.969387755102041,14
"AJ10AK",3.11666666666667,4.03333333333333,3.98333333333333,4.86666666666667,57.75,59.65,5.5,4,0.504201680672269,17
