"","x"
"1","AD06VL"
"2","AD09DR"
"3","AD09HL"
"4","AD09JN"
"5","AD12HU"
"6","AE03TO"
"7","AE05TB"
"8","AE08TO"
"9","AG06DE"
"10","AG12SE"
"11","AI02RB"
"12","AJ04SE"
"13","AJ10AK"
"14","AJ11OA"
"15","AN01TO"
"16","AN02XX"
"17","AN09RO"
"18","AT04IA"
"19","BA03RG"
"20","BA08AD"
"21","BI10DE"
"22","BI11WL"
"23","BO08FA"
"24","BR02HR"
"25","BR12TO"
"26","BT02IG"
"27","BT08RL"
"28","BT09VL"
"29","CA02MR"
"30","CA06FI"
"31","CR07HL"
"32","CR08LR"
"33","CR09SE"
"34","CR10TO"
"35","DN12MS"
"36","DN12TO"
"37","DR02RL"
"38","DR07EA"
"39","DR09FA"
"40","DR10AD"
"41","DR11KA"
"42","EA03AE"
"43","EI11CR"
"44","EK01GO"
"45","FA07OA"
"46","FA12CR"
"47","FH01FO"
"48","FT05SY"
"49","GB06JH"
"50","GB10TO"
"51","GL07NB"
"52","GL09IM"
"53","HI05MR"
"54","HI06CR"
"55","HL03PT"
"56","HL04MR"
"57","HL08RL"
"58","IG03RM"
"59","II08ER"
"60","IN08OE"
"61","IS02AE"
"62","JD01HR"
"63","JH12MR"
"64","JN06AM"
"65","JS08VC"
"66","KR01DS"
"67","KR08EI"
"68","KR09AE"
"69","KR09AF"
"70","KR12RL"
"71","KT04MT"
"72","KT07HN"
"73","KT12EI"
"74","KT12SE"
"75","LC09FN"
"76","LD11VK"
"77","LN07AD"
"78","MC10TO"
"79","MC11DT"
"80","ML07SE"
"81","MN06CA"
"82","MOZ08S"
"83","MR01DM"
"84","MR02OI"
"85","MR03TO"
"86","MR06WL"
"87","MR07TO"
"88","MR10JR"
"89","NE01TH"
"90","NN01SS"
"91","NT02CR"
"92","NT09TO"
"93","OA03VL"
"94","OG01SR"
"95","PG11WL"
"96","PT02RC"
"97","PT09MS"
"98","RF04PT"
"99","RG08MR"
"100","RG12CR"
"101","RO12MA"
"102","RZ12JN"
"103","SB01MC"
"104","SB02CR"
"105","SB08DM"
"106","SB12HL"
"107","SE01EI"
"108","SE04TO"
"109","SE06HL"
"110","SE07UF"
"111","SL03HL"
"112","SL06GR"
"113","SL07PT"
"114","SL09MC"
"115","SM01MR"
"116","SM02RU"
"117","SM03SM"
"118","SM06AD"
"119","SM11RC"
"120","SN01WL"
"121","SN07SR"
"122","SR10DA"
"123","SS05HR"
"124","SS09JH"
"125","SS09MR"
"126","SS12DR"
"127","SS12GA"
"128","TN10PS"
"129","TN11HL"
"130","UR05RL"
"131","UR07RL"
"132","UR12TR"
"133","VL08ZK"
"134","YO06RL"
