"id","date","dayCounter","rses_1","rses_2","rses_3","rses_4","socSit","socInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance"
"RT12RL",2023-08-14,1,5.75,6.75,1.25,2,76.75,56.5,6.5,3.9375,0.5,0.5,0.5,0.816496580927726,41.9632775968068,35.7444634407438,0.577350269189626,0.125,0.571428571428571
"RT12RL",2023-08-15,2,5.5,7,1,2.5,61.75,64.5,6.25,4,0.577350269189626,0,0,0.577350269189626,46.1618529379689,25.0532765654847,0.957427107756338,0,0.571428571428571
"RT12RL",2023-08-16,3,5.57142857142857,6.42857142857143,1,2.57142857142857,84.8571428571429,77,6.42857142857143,3.89285714285714,0.786795792469443,1.51185789203691,0,0.534522483824849,32.682454882442,26.2615054150874,0.534522483824849,0.429562346492112,1
"RT12RL",2023-08-17,4,5.75,7,1,2.5,94.25,65,6.25,4.0625,0.5,0,0,0.577350269189626,9.03234926989282,12.2746350930146,0.5,0.125,0.571428571428571
"RT12RL",2023-08-18,5,4.66666666666667,6,1.33333333333333,3,99,85.3333333333333,6.66666666666667,3.75,0.577350269189626,1.73205080756888,0.577350269189626,0,1.73205080756888,14.2243921955679,0.577350269189626,0.433012701892219,0.428571428571429
"RT12RL",2023-08-19,6,4,6,2,4.33333333333333,0,59.6666666666667,6,4.08333333333333,1,0,0,0.577350269189626,0,51.6752681012236,0,0.144337567297406,0.428571428571429
"RT12RL",2023-08-20,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"RT12RL",2023-08-21,8,4.8,7,1,3.2,59.8,27.2,5.8,4,0.836660026534076,0,0,0.447213595499958,29.0379062606105,20.6082507748717,0.447213595499958,0.176776695296637,0.714285714285714
"RT12RL",2023-08-22,9,5.5,5,2.25,3.5,74.5,50.75,6,4.0625,0.577350269189626,2.3094010767585,1.89296944860009,1.73205080756888,29.4561821468205,16.820126832657,0.816496580927726,0.125,0.571428571428571
"RT12RL",2023-08-23,10,5,7,1,2.5,50,65.5,6.5,3.875,0,0,0,0.707106781186548,70.7106781186548,48.7903679018718,0.707106781186548,0.176776695296637,0.285714285714286
"RT12RL",2023-08-24,11,4.8,6.2,1,3.2,42.2,45.8,6,3.8,0.447213595499958,1.78885438199983,0,0.447213595499958,30.6300506039412,26.8458562910554,0,0.447213595499958,0.714285714285714
"RT12RL",2023-08-25,12,4.5,7,1,3.5,91.5,65.5,6,4,0.707106781186548,0,0,0.707106781186548,12.0208152801713,23.3345237791561,0,0,0.285714285714286
"RT12RL",2023-08-26,13,5,7,1,4,45,49,5.5,4.25,0,0,0,0,57.9827560572969,35.3553390593274,0.707106781186548,0,0.285714285714286
"RT12RL",2023-08-27,14,5.66666666666667,7,1,2.66666666666667,100,90,7,4.08333333333333,0.577350269189626,0,0,0.577350269189626,0,10.3923048454133,0,0.144337567297406,0.428571428571429
"RT12RL",2023-08-28,15,5,7,1,3,100,83.5,7,4,0,0,0,0,0,0.707106781186548,0,0,0.285714285714286
