"id","date","dayCounter","rses_1","rses_2","rses_3","rses_4","socSit","socInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance"
"IE07MR",2023-07-27,1,4.33333333333333,6,2,3,75,42.3333333333333,4.66666666666667,3.83333333333333,0.577350269189626,0,0,0,43.3012701892219,14.1539158303748,0.577350269189626,0.144337567297406,0.428571428571429
"IE07MR",2023-07-28,2,5.25,6,2,2,100,90.75,6.25,3.8125,0.957427107756338,0.816496580927726,0.816496580927726,0,0,6.60176744011279,0.5,0.239356776939085,0.571428571428571
"IE07MR",2023-07-29,3,4.5,5.5,2.5,3,100,65,5.5,3.875,0.707106781186548,0.707106781186548,0.707106781186548,0,0,49.4974746830583,0.707106781186548,0.176776695296637,0.285714285714286
"IE07MR",2023-07-30,4,5.5,6,2,2.5,75,71,6,4,0.707106781186548,0,0,0.707106781186548,35.3553390593274,28.2842712474619,0,0.353553390593274,0.285714285714286
"IE07MR",2023-07-31,5,6,6,2,2,0,20,3,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"IE07MR",2023-08-01,6,4.5,6,2,3,0,7.5,5,3.875,0.707106781186548,0,0,0,0,10.6066017177982,0,0.176776695296637,0.285714285714286
"IE07MR",2023-08-02,7,5,3,2,3,0,0,4,3.25,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"IE07MR",2023-08-03,8,6,6,2,2,100,100,6,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
