"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"SM11HN",2023-10-20,2,-77,-77,"-66",1697786100,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SM11HN",2023-10-21,1,2,3,"(als reference: ich hab heute meinen ersten Arbeitstag)  Ich habe davon geträumt, dass ich bei der Arbeit angekommen zur Theke gegangen bin und dort mit einem Mitarbeiter und zwei vorgesetzen stand. Zunächst habe ich einfach nur Kunden bedient, irgendwann hat jedoch eine Vorgesetzte angefangen meinen Kopf nach unten zu Pressen, ihre Hand war dabei deutlich größer als mein Kopf. Auch insgesamt sehe ich mich in meinen eigenen Träumen häufig deutlich kleiner als andere und als ich eigentlich bin. Auch hier war ich mit Abstand der kleinste der dort war, obwohl ich größer als die Vorgesetzten bin. Ich war vom Drücken aber nicht irritiert und hab dabei sogar gelächelt als wäre es das normalste der Welt. Danach bin ich aufgewacht. ",1697872740,2,1,2,7,3,3,1,0,2,2,1,0,0,1,1,0,0,0,3,2,0,125,17.8571428571429,3.5,2,2
"SM11HN",2023-10-22,1,2,4,"Der Traum war zwar kein Albtraum, hatte jedoch einige Horrorelemente, ausserdem war ich irgendwie gleichzeitig an verschiedenen Orten. Zunächst war ich bei einem Partyveranstalter zuhause und er hat mich drum gebeten einen Weg von dem Gebäude wo alle waren zu dem Club zu finden. Eine Freundin von mir kam gerade zu unserem Gebäude und ist dabei so einen Tunnel langgelaufen. Ich bin dann mit einer Gruppe von Leuten Diesen Tunnel runtergelaufen um dem Weg zum Club zu finden. Unten waren 4 Notausgang Schilder, ich meinte dass dort die nähsten Ausgänge sind und einer davon zum Club ist, einer zurück zum Gebäude und bei den anderen beiden alles sein könnte. Wir wurden dann einige Male von Monster angegriffen und die haben auch paar Freunde verschleppt. Irgendwann war ich dann mit einen von denen alleine, sie ist in echt meine Arbeitskollegin und ich hab angefangen sie ganze Zeit auf der Wange zu küssen. Nach einer Zeit meinte sie ich soll auf Twitter nach Pornographie schauen. Gleichzeitig war ich aber auch in dem Auto mit einer Freundin von mir, mit welcher ich auch in echt intim war, und drei weiteren Freunden die hinten im Auto saßen. Auch mit ihr hab ich irgendwann rumgemacht und dann hat sie mich nachhause gefahren. Gleichzeitig dazu war ich auch in einem Wettrennen, mit denselben Leuten mit denen ich im Tunnel war. Dabei gab's 2 Teams. Einer auf dem Motorrad gegen den Rest in Autos. Mir stand jedoch irgendwie frei im welchem Team ich bin. Zunächst war ich bei dem Rest, am Ende jedoch mit dem Motorrad Fahrer, der Wechsel kam davon, dass ich irritiert davon war dass die Autofahrer bei Ampeln gewartet haben und er nicht. Es war dabei dunkel und ganz leer. Mit dem Motorrad Fahrer war ich dann bei einer Haltestelle und wir haben nach einem Fahrstuhl gesucht, wir haben aber nur einen riesigen Freizeitpark an der Haltestelle gefunden. Außerdem ist zu bemerken dass die Idee von den Notausgang zu Orientierung nach draußen von der Arbeit kam, weil man so den Weg von den Umkleiden in den Foyer findet. Es gab auch einen kurzen Moment wo ich am laufen war und aufeinmal von links von einer Studierendenkollgein angesprochen wurde. ",1697958300,3,1,6,18,15,14,8,1,7,7,1,0,7,1,0,0,4,0,8,1,11,370,20.5555555555556,3,6,6
"SM11HN",2023-10-23,1,2,4,"Eigentlich hab ich nur kurz über die Arbeit geträumt, dabei hab ich nur den Tresen sauber gemacht und hatte kurze und wenige aber nette und unterhaltsame Gespräche mit meinen Kollegen, über den Inhalt erriner ich mich nicht. ",1698034980,4,1,1,2,1,1,1,1,1,1,0,0,0,1,0,0,0,0,2,0,0,39,19.5,2,1,1
"SM11HN",2023-10-24,2,-77,-77,"-66",1698131520,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SM11HN",2023-10-25,2,-77,-77,"-66",1698212040,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SM11HN",2023-10-26,1,2,3,"Ich errinere mich daran wie eine ehemalige Klassenkameradin, mit der ich nicht viel zu tun hatte, einen Schwarm auf einen anderen Kameraden hatte, den ich auch nicht mochte. Daraufhin hab ich den Jungen ihr ausgespannt und sie lächerlich gemacht. Später wurd ich von einer Freundin getragen, am Hof meiner Grundschule und ich wog aufeinmal 10kg weniger. ",1698345780,7,1,3,4,4,3,0,0,3,4,0,0,0,0,0,0,0,0,4,0,0,58,14.5,1.33333333333333,3,3
"SM11HN",2023-10-27,2,-77,-77,"-66",1698384780,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SM11HN",2023-10-28,2,-77,-77,"-66",1698482160,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SM11HN",2023-10-29,1,2,3,"Zunächst war ich in einer Logik Vorlesung in einem mir unbekannten Hörsaal. Ich singe und eine Freundin ignoriert mich. Fahre mit dem Bus nachhause,sind über Fahrräder und ähnliches gefahren, dabei durch einen Park. Aufeinmal ging die Fahrt von vorne los. Diesmal wollte Sängerin Lorde mit ihrem Fahrrad vorfahren und Gegenstände von der Fahrbahn zu entfernen. DasTeam, welches die Gegenstände entfernen wollte ist losgefahren und dachte es hätte Lorde mitgenommen. Sie wurd zurückgelassen und dachte es wäre aufgrund ihres Geschlechtes. Sie meinte sie würde an ein Deutsch-Kroatisches Meer reisen um dort einen Hai zu sehen der in vier Wochen wohl auftauchen soll. Kurz vor dem Ende seh ich dass unser Bus ein Nachtexpress ist, obwohl es hell und Tag war. ",1698619500,10,1,3,8,5,1,0,0,1,1,3,0,1,0,0,0,1,0,1,3,2,119,14.875,2.66666666666667,3,2
"SM11HN",2023-10-30,1,2,3,"Ich käme zu spät zu einem Konzert und mein Cousin hat mir angeboten mich zu fahren. ",1698690720,11,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,16,16,1,1,1
"SM11HN",2023-10-31,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SM11HN",2023-11-01,2,-77,-77,"-66",1698827580,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SM11HN",2023-11-02,2,-77,-77,"-66",1698967920,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SM11HN",2023-11-03,1,2,3,"Zunächst war ich in so einem riesigen Theatersaal wo wir Schwierigkeiten hatten alles aufzubauen. Ein Junge meinte, ob die, die die Technik korrigieren können hier sein müssen. Er hat dabei von  eliganten  gesprochen, ich kenne das Wort nicht, wir sind aber daraufhin gegangen und waren bei einem Kino. Dort hat er mir gezeigt wie man durch tricksen gratis rein gehen kann. Bspw hat er gesagt das er schon ein Ticket gekauft hätte, oben haben wir so getan als wären wir hier um die Werbetafel zu korrigieren und kamen so überall gratis rein, wir haben uns die Filme aber nicht angeschaut. Es ging nur darum gratis reinzukommen ohne dass es auffällt. ",1699002240,15,1,2,6,5,5,3,0,2,0,0,4,1,0,0,0,1,0,0,4,2,118,19.6666666666667,3,2,2
